path,module,kind,name,signature,status,role
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","totalCalls","val totalCalls: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","successCount","val successCount: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","failureCount","val failureCount: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","avgLatencyMs","val avgLatencyMs: Double = 0.0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","p95LatencyMs","val p95LatencyMs: Double = 0.0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","lastCallTime","val lastCallTime: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","isHealthy","val isHealthy: Boolean = true",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"data-class","HealthSummary","data class HealthSummary(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","databaseHealthy","val databaseHealthy: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","storageHealthy","val storageHealthy: Boolean = true,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","networkAvailable","val networkAvailable: Boolean = false,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","providersHealthy","val providersHealthy: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","providersTotal","val providersTotal: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","memoryUsagePercent","val memoryUsagePercent: Double = 0.0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","lastSyncTime","val lastSyncTime: Long? = null,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","pendingOperations","val pendingOperations: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","sessionCount","val sessionCount: Int = 0,",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\AnalyticsDtos.kt",core/common,"val","crashFreeRate","val crashFreeRate: Double = 100.0",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","ResumeAnalysisDto","data class ResumeAnalysisDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","AtsResultDto","data class AtsResultDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","CoverLetterDto","data class CoverLetterDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","InterviewFeedbackDto","data class InterviewFeedbackDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","ApifyJobScraperDto","data class ApifyJobScraperDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","AiMessageDto","data class AiMessageDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","UserProfileDto","data class UserProfileDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","ProviderInfoDto","data class ProviderInfoDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","AnalyticsEventDto","data class AnalyticsEventDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","JobListingDto","data class JobListingDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","SettingsDto","data class SettingsDto(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","ResumeAnalysisRequest","data class ResumeAnalysisRequest(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","CoverLetterRequest","data class CoverLetterRequest(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","InterviewPromptRequest","data class InterviewPromptRequest(",UNKNOWN,UNKNOWN
"core\common\src\main\java\com\bangersoul\aivance\core\common\dto\CoreDtos.kt",core/common,"data-class","JobSearchQueryRequest","data class JobSearchQueryRequest(",UNKNOWN,UNKNOWN
